Unnamed: 0.1,Unnamed: 0,price,title,year,mileage,transmission,body_type,drive_type,color,engine_capacity,engine_power,fuel_type,travel_distance,price_scaled,year_scaled,mileage_scaled,engine_capacity_scaled,engine_power_scaled,travel_distance_scaled
132983,135213,1630000,Suzuki Vitara II,2016,104000,автомат,внедорожник 5 дв.,передний,оранжевый,1.6,117.0,Бензин,0,-0.4493043622419716,0.6774072537983137,-1.1009558181631618,-1.6351062734862027,-1.3304928284047255,-0.0096796395548317
58422,58838,400000,Ford Fusion I,2005,158000,механика,хэтчбек 5 дв.,передний,серый,1.4,80.0,Бензин,0,-0.4935117176648363,-0.6023886228105706,0.6423031100927541,-0.3032552201087288,-0.4671973971654999,-0.0096796395548317
101393,102552,1800000,Infiniti FX37 II (S51) Рестайлинг,2011,210100,автомат,внедорожник 5 дв.,полный,чёрный,3.7,333.0,Бензин,0,-0.4272006845305392,0.2120269350314466,0.0343974325471014,-0.8359956414597183,-0.4156573714198744,-0.0096796395548317
100316,101467,1480000,Honda Accord VIII Рестайлинг,2011,186000,автомат,седан,передний,белый,2.4,200.0,Бензин,0,-0.3166822959733772,0.0956818553397299,0.4635073225793268,0.2294852012422606,-0.0677621976369028,-0.0096796395548317
2948,2967,170000,Lada (ВАЗ) 2121 (4x4) I,1992,235000,механика,внедорожник 3 дв.,полный,белый,1.6,75.0,Бензин,0,-0.7012862881523009,-2.1148746588028886,0.6423031100927541,-0.9691807467974658,-0.8666325966940969,-0.0096796395548317
130104,132221,2060000,Toyota Voxy III (R80),2015,141000,вариатор,минивэн,передний,синий,1.8,99.0,Гибрид,0,-0.1740927972775895,0.6774072537983137,0.6959418463467824,-0.1700701147709813,-0.4671973971654999,-0.0096796395548317
162444,166096,1399000,Haval F7 I,2020,147637,робот,внедорожник 5 дв.,полный,чёрный,1.5,150.0,Бензин,0,0.3596902419964541,1.2591326522568975,-1.324450552554946,-0.3032552201087288,1.0274633494576373,-0.0096796395548317
2835,2854,110000,Lada (ВАЗ) 2108,1992,300000,механика,хэтчбек 3 дв.,передний,зелёный,1.3,64.0,Бензин,0,-0.7278107014060198,-2.1148746588028886,-1.2886913950522605,0.3626703065800081,-1.2145277704770685,-0.0096796395548317
176281,180808,750000,Toyota Passo III Рестайлинг,2022,40000,вариатор,хэтчбек 5 дв.,передний,зелёный,1.0,69.0,Бензин,0,0.4834708371804755,1.491822811640331,-1.5139740873191787,0.2294852012422606,0.8084182400387293,-0.0096796395548317
147203,149920,1359900,Renault Duster I Рестайлинг,2018,101000,механика,внедорожник 5 дв.,полный,коричневый,2.0,143.0,Бензин,0,1.827374442035565,0.9100974131817472,-0.7701836112633214,2.360446886646219,3.823509746157817,-0.0096796395548317
