price,title,year,mileage,engine,transmission,body_type,drive_type,color
1 499 000 ₽,Hyundai Creta I,2019,87291км,1.6 л / 123 л.с. / Бензин,автомат,внедорожник 5 дв.,передний,оранжевый
1 000 000 ₽,BMW 3 серии 328i V (E90/E91/E92/E93),2007,280000км,3.0 л / 234 л.с. / Бензин,автомат,седан,задний,чёрный
2 990 000 ₽,Toyota Tundra CrewMax II,2010,157000км,5.7 л / 381 л.с. / Бензин,автомат,пикап двойная кабина,полный,серебристый
80 000 ₽,УАЗ 3151 31514,1995,200000км,2.5 л / 90 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный
3 999 999 ₽,Lexus GX 460 II,2010,330000км,4.6 л / 296 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
310 000 ₽,Opel Astra G,1998,255327км,1.4 л / 90 л.с. / Бензин,механика,хэтчбек 3 дв.,передний,пурпурный
920 000 ₽,"Mercedes-Benz E-Класс 270 III (W211, S211)",2004,370000км,2.7 л / 177 л.с. / Дизель,автомат,универсал 5 дв.,задний,чёрный
1 550 000 ₽,Mercedes-Benz S-Класс 300 III (W140) Рестайлинг,1997,465000км,3.0 л / 177 л.с. / Дизель,автомат,седан,задний,красный
1 370 000 ₽,Mitsubishi Pajero IV,2007,275000км,3.0 л / 178 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,белый
,Audi R8 V10 performance II (4S) Рестайлинг,2024,10км,5.2 л / 620 л.с. / Бензин,робот,родстер,полный,серый
8 645 000 ₽,Toyota Grand Highlander,2024,27км,2.4 л / 265 л.с. / Бензин,автомат,внедорожник 5 дв.,передний,серебристый
1 350 000 ₽,Audi TT II (8J),2007,212000км,2.0 л / 200 л.с. / Бензин,робот,купе,передний,чёрный
2 380 000 ₽,Toyota Alphard II,2008,203900км,3.5 л / 275 л.с. / Бензин,автомат,минивэн,передний,золотистый
1 125 045 ₽,Suzuki Swift V,2021,34000км,1.4 л / 140 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,белый
710 000 ₽,Chevrolet Cruze I Рестайлинг,2013,260960км,1.8 л / 141 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,серебристый
754 000 ₽,Opel Astra J Рестайлинг,2012,212191км,1.4 л / 140 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,серый
120 000 ₽,Mitsubishi Chariot II,1992,416616км,2.4 л / 145 л.с. / Бензин,автомат,компактвэн,полный,зелёный
350 000 ₽,Renault Scenic II Рестайлинг,2007,150000км,1.5 л / 105 л.с. / Дизель,механика,компактвэн,передний,красный
1 195 000 ₽,Land Rover Range Rover Supercharged III Рестайлинг,2006,122000км,4.2 л / 396 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
110 000 ₽,Audi 80 IV (B3),1990,350000км,1.8 л / 90 л.с. / Бензин,механика,седан,передний,серый
12 473 000 ₽,Audi S6 V (C8),2025,10км,3.0 л / 344 л.с. / Дизель,автомат,универсал 5 дв.,полный,синий
10 000 000 ₽,Porsche Taycan 4S I,2021,21000км,530 л.с. / 390 кВт / Электро,Заряд на 407 км,седан,полный,чёрный
1 350 000 ₽,Honda Stepwgn III,2007,165000км,2.0 л / 155 л.с. / Бензин,автомат,минивэн,полный,серый
315 000 ₽,Honda Orthia I,1998,283056км,2.0 л / 150 л.с. / Бензин,автомат,универсал 5 дв.,полный,серебристый
15 599 000 ₽,Toyota Sequoia III,2024,40км,3.5 л / 437 л.с. / Гибрид,автомат,внедорожник 5 дв.,полный,чёрный
900 000 ₽,Mercedes-Benz S-Класс 320 III (W140) Рестайлинг,1997,221000км,3.2 л / 231 л.с. / Бензин,автомат,седан,задний,чёрный
1 699 000 ₽,Haval M6 II,2023,37797км,1.5 л / 143 л.с. / Бензин,робот,внедорожник 5 дв.,передний,чёрный
3 310 000 ₽,Exeed TXL I Рестайлинг 2,2023,3848км,2.0 л / 197 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый
,Honda Stepwgn Spada V Рестайлинг,2017,76000км,1.5 л / 150 л.с. / Бензин,вариатор,минивэн,передний,белый
