price,title,year,mileage,engine,transmission,body_type,drive_type,color
945 000 ₽,Nissan Qashqai I Рестайлинг,2013,234012км,1.6 л / 117 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,серый
600 000 ₽,"Toyota Corolla Fielder IX (E120, E130)",2002,430000км,1.5 л / 110 л.с. / Бензин,автомат,универсал 5 дв.,передний,белый
200 000 ₽,Nissan Cedric IX (Y33),1996,80000км,2.0 л / 125 л.с. / Бензин,автомат,седан,задний,зелёный
120 000 ₽,Lada (ВАЗ) 2112,2002,261000км,1.5 л / 92 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,серебристый
2 900 000 ₽,Ford Mustang VI,2017,131500км,2.3 л / 309 л.с. / Бензин,автомат,кабриолет,задний,серебристый
5 555 555 ₽,Cadillac Fleetwood II,1993,100000км,5.7 л / 188 л.с. / Бензин,автомат,седан,задний,чёрный
100 000 ₽,Lada (ВАЗ) 2112,2004,200000км,1.5 л / 92 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,серебристый
380 000 ₽,Chery Tiggo (T11) I,2007,259695км,2.4 л / 129 л.с. / Бензин,механика,внедорожник 5 дв.,передний,серебристый
165 000 ₽,Honda Logo,2000,340000км,1.3 л / 66 л.с. / Бензин,вариатор,хэтчбек 5 дв.,передний,чёрный
143 000 ₽,Lada (ВАЗ) 2115,2011,160000км,1.6 л / 81 л.с. / Бензин,механика,седан,передний,серый
643 500 ₽,Toyota HiAce H100,1996,244361км,3.0 л / 130 л.с. / Дизель,автомат,минивэн,полный,серебристый
1 800 000 ₽,Infiniti EX25 I (J50),2011,221000км,2.5 л / 222 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
2 590 000 ₽,Toyota RAV4 IV (XA40) Рестайлинг,2017,87000км,2.5 л / 180 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
1 690 000 ₽,УАЗ Patriot Евро-2 I Рестайлинг 3,2023,8500км,2.7 л / 150 л.с. / Бензин,механика,внедорожник 5 дв.,полный,коричневый
500 000 ₽,BMW 3 серии 316i III (E36),1996,666666км,1.6 л / 102 л.с. / Бензин,механика,седан,задний,зелёный
1 500 000 ₽,Honda Stepwgn III,2007,298000км,2.0 л / 155 л.с. / Бензин,автомат,минивэн,передний,чёрный
1 770 000 ₽,Haval M6 II,2023,14506км,1.5 л / 143 л.с. / Бензин,робот,внедорожник 5 дв.,передний,белый
900 000 ₽,Volkswagen Jetta VI,2013,233575км,1.4 л / 122 л.с. / Бензин,робот,седан,передний,серебристый
6 500 000 ₽,Hummer H2 I,2004,178000км,6.0 л / 315 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,белый
2 199 387 ₽,Audi A3 Sportback 35 TFSI IV (8Y),2021,45500км,1.4 л / 150 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,белый
4 122 505 ₽,BMW Z4 30i III (G29),2022,47000км,2.0 л / 258 л.с. / Бензин,автомат,родстер,задний,красный
4 400 000 ₽,Toyota Vellfire II Рестайлинг,2019,73000км,2.5 л / 182 л.с. / Бензин,вариатор,минивэн,передний,белый
130 000 ₽,Toyota Carina V (T170),1990,250000км,1.8 л / 115 л.с. / Бензин,механика,седан,передний,чёрный
50 000 ₽,Lada (ВАЗ) 2115,2003,220000км,1.6 л / 81 л.с. / Бензин,механика,седан,передний,серебристый
1 720 000 ₽,Hyundai Santa Fe III,2012,208000км,2.2 л / 197 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,чёрный
2 630 000 ₽,BMW 4 серии Gran Coupe 430i F32/F33/F36 Рестайлинг,2017,176000км,2.0 л / 252 л.с. / Бензин,автомат,лифтбек,задний,белый
799 000 ₽,Kia Cerato 4-speed II,2009,149758км,1.6 л / 126 л.с. / Бензин,автомат,седан,передний,серый
1 500 000 ₽,Toyota Land Cruiser 80 Series,1992,430000км,4.2 л / 135 л.с. / Дизель,механика,внедорожник 5 дв.,полный,синий
120 000 ₽,Lada (ВАЗ) 2112,2002,150000км,1.5 л / 94 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,серебристый
3 021 000 ₽,Kia Sorento IV,2022,26350км,1.6 л / 230 л.с. / Гибрид,автомат,внедорожник 5 дв.,полный,голубой
1 420 000 ₽,Renault Duster I Рестайлинг,2016,94507км,2.0 л / 143 л.с. / Бензин,механика,внедорожник 5 дв.,полный,коричневый
669 300 ₽,Lada (ВАЗ) Granta I Рестайлинг,2022,78981км,1.6 л / 90 л.с. / Бензин,механика,седан,передний,белый
1 450 000 ₽,Honda CR-V III,2008,220000км,2.4 л / 166 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
6 994 000 ₽,Jaguar F-Type I Рестайлинг 2,2020,9962км,2.0 л / 300 л.с. / Бензин,автомат,родстер,задний,синий
6 000 000 ₽,Toyota Land Cruiser 200 Series Рестайлинг 2,2016,225000км,4.5 л / 249 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,чёрный
2 600 000 ₽,Ciimo (Dongfeng-Honda) M-NV I,2022,388км,163 л.с. / 120 кВт / Электро,Заряд на 480 км,внедорожник 5 дв.,передний,белый
3 152 000 ₽,Mini Countryman JCW John Cooper Works II Рестайлинг,2020,24050км,2.0 л / 306 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый
1 156 000 ₽,Opel Antara I Рестайлинг,2012,160000км,3.0 л / 249 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,белый
299 999 ₽,Hyundai Accent ТагАЗ II,2004,231000км,1.5 л / 102 л.с. / Бензин,механика,седан,передний,золотистый
2 190 000 ₽,Mitsubishi Outlander III Рестайлинг 3,2018,125698км,2.4 л / 167 л.с. / Бензин,вариатор,внедорожник 5 дв.,полный,чёрный
3 490 000 ₽,Audi Q3 40 TFSI II (F3),2021,95017км,2.0 л / 180 л.с. / Бензин,робот,внедорожник 5 дв.,полный,чёрный
1 597 000 ₽,Hyundai Santa Fe III,2012,199897км,2.2 л / 197 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,чёрный
135 000 ₽,Lada (ВАЗ) 2109,1996,250000км,1.5 л / 72 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,чёрный
640 000 ₽,Suzuki Grand Vitara II,2007,174000км,1.6 л / 106 л.с. / Бензин,механика,внедорожник 3 дв.,полный,чёрный
575 000 ₽,УАЗ 3151 31514,1998,75000км,2.5 л / 76 л.с. / Бензин,механика,внедорожник 5 дв.,полный,чёрный
,Land Rover Range Rover P400 MHEV V,2024,11км,3.0 л / 400 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
3 600 000 ₽,Audi R8 V8 I (Typ 42),2007,40000км,4.2 л / 420 л.с. / Бензин,робот,купе,полный,серый
75 000 ₽,Lada (ВАЗ) 2106,1993,95000км,1.3 л / 64 л.с. / Бензин,механика,седан,задний,бежевый
,Kia Rio IV,2018,46800км,1.6 л / 123 л.с. / Бензин,механика,седан,передний,серебристый
520 000 ₽,Volkswagen Golf IV,2002,250000км,1.6 л / 102 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,чёрный
2 000 000 ₽,Ford Explorer V,2014,288136км,3.5 л / 294 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,белый
850 000 ₽,Mitsubishi ASX I,2012,364000км,1.8 л / 140 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,чёрный
3 550 000 ₽,Ford Explorer V Рестайлинг 2,2019,50401км,3.5 л / 249 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,белый
3 000 000 ₽,Toyota Tundra CrewMax II,2007,349000км,5.7 л / 381 л.с. / Бензин,автомат,пикап двойная кабина,полный,чёрный
850 000 ₽,SsangYong Kyron 4-speed I Рестайлинг,2007,148000км,2.3 л / 150 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
,BMW X5 40i IV (G05/G18),2020,86000км,3.0 л / 340 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,белый
1 589 000 ₽,Toyota Land Cruiser Prado 120 Series Рестайлинг,2009,200887км,3.0 л / 173 л.с. / Дизель,механика,внедорожник 5 дв.,полный,белый
120 000 ₽,ГАЗ 31029 «Волга»,1995,40000км,2.5 л / 90 л.с. / Бензин,механика,седан,задний,серый
1 099 000 ₽,Citroen C-Crosser,2008,312000км,2.4 л / 170 л.с. / Бензин,вариатор,внедорожник 5 дв.,полный,чёрный
3 687 000 ₽,Lexus NX 200 I Рестайлинг,2020,61050км,2.0 л / 150 л.с. / Бензин,вариатор,внедорожник 5 дв.,полный,белый
995 000 ₽,Nissan Qashqai I Рестайлинг,2010,263755км,2.0 л / 141 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,чёрный
3 799 000 ₽,Infiniti QX80 I Рестайлинг,2014,137000км,5.6 л / 405 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
4 990 000 ₽,BMW X6 M II (F86),2015,195000км,4.4 л / 575 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
550 000 ₽,Honda Civic VIII,2006,224642км,1.8 л / 140 л.с. / Бензин,механика,седан,передний,чёрный
1 690 000 ₽,Kia Sportage IV,2016,175000км,2.0 л / 150 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый
105 000 ₽,Peugeot 206,2005,340000км,1.4 л / 75 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,серый
2 300 000 ₽,Lexus RX 450h III,2010,220000км,3.5 л / 249 л.с. / Гибрид,вариатор,внедорожник 5 дв.,полный,чёрный
1 830 000 ₽,Chevrolet Tahoe 6-speed III,2012,276505км,5.3 л / 324 л.с. / Бензин,автомат,внедорожник 5 дв.,задний,белый
2 100 000 ₽,Infiniti Q50 I,2015,109444км,2.0 л / 211 л.с. / Бензин,автомат,седан,задний,чёрный
825 700 ₽,Lada (ВАЗ) Granta Cross Euro-2 I Рестайлинг,2022,17985км,1.6 л / 90 л.с. / Бензин,механика,универсал 5 дв.,передний,белый
119 000 ₽,Lada (ВАЗ) 2112,2005,140600км,1.6 л / 90 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,серебристый
,BMW X5 40d III (F15),2016,144000км,3.0 л / 313 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,белый
220 000 ₽,Chrysler Voyager III,1996,426980км,2.4 л / 150 л.с. / Бензин,механика,минивэн,передний,чёрный
980 000 ₽,Volkswagen Passat CC I,2009,357000км,2.0 л / 143 л.с. / Дизель,робот,седан,передний,белый
2 000 000 ₽,Infiniti FX37 II (S51) Рестайлинг,2012,147000км,3.7 л / 333 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый
3 790 032 ₽,Lexus RX 300 IV Рестайлинг,2020,36000км,2.0 л / 238 л.с. / Бензин,автомат,внедорожник 5 дв.,передний,серый
861 000 ₽,Kia Rio 4-speed III,2014,157032км,1.6 л / 123 л.с. / Бензин,автомат,седан,передний,чёрный
955 000 ₽,Skoda Yeti I,2009,194000км,1.8 л / 152 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серый
1 280 000 ₽,Chevrolet Captiva I Рестайлинг,2013,235000км,2.2 л / 184 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,чёрный
1 600 000 ₽,"Mercedes-Benz E-Класс 430 II (W210, S210) Рестайлинг",2000,98700км,4.3 л / 279 л.с. / Бензин,автомат,седан,задний,белый
425 000 ₽,Audi A6 II (C5) Рестайлинг,2002,469382км,1.8 л / 150 л.с. / Бензин,вариатор,седан,передний,чёрный
850 000 ₽,Honda Accord VIII,2008,260000км,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,серый
